Provider Name,Person Account: Email,Degree,Insurance Program
"Colossus, Bula",provider_89@helloalma.com,LMHC,Yes
"Colossus, Ronny",provider_2651@helloalma.com,LCSW,Yes
"Colossus, Eugene",provider_4192@helloalma.com,LMHC,Yes
"Colossus, Taren",provider_865@helloalma.com,LMHC,No
"Colossus, Theressa",provider_364@helloalma.com,LCSW,No
"Colossus, Mauricio",provider_2670@helloalma.com,PhD,Yes
"Colossus, Theressa",provider_1392@helloalma.com,LMSW,Yes
"Colossus, Torie",provider_4466@helloalma.com,PhD,Yes
"Colossus, Eugene",provider_116@helloalma.com,LCSW,Yes
"Colossus, Emiko",provider_4725@helloalma.com,LMHC,Yes
"Colossus, Eugenie",provider_1146@helloalma.com,LCSW,Yes
"Colossus, Marybelle",provider_3967@helloalma.com,LMHC,Yes
"Colossus, Vina",provider_3712@helloalma.com,LMHC,Yes
"Colossus, Crissy",provider_2691@helloalma.com,LCSW,Yes
"Colossus, Leonore",provider_4231@helloalma.com,PhD,Yes
"Colossus, Kandra",provider_3981@helloalma.com,LMSW,Yes
"Colossus, Latarsha",provider_4495@helloalma.com,PhD,No
"Colossus, Olene",provider_4751@helloalma.com,LCSW,Yes
"Colossus, Alona",provider_2961@helloalma.com,LMHC,Yes
"Colossus, Lisha",provider_4500@helloalma.com,LCSW,Yes
"Colossus, Theressa",provider_1430@helloalma.com,LMHC,Yes
"Colossus, Yolonda",provider_2966@helloalma.com,LCSW,Yes
"Colossus, Abram",provider_3740@helloalma.com,LMHC,Yes
"Colossus, Vertie",provider_2205@helloalma.com,LMHC,Yes
"Colossus, Lisha",provider_158@helloalma.com,LCSW,Yes
"Colossus, Lela",provider_2718@helloalma.com,PhD,Yes
"Colossus, Kiersten",provider_165@helloalma.com,LMSW,Yes
"Colossus, Jazmin",provider_683@helloalma.com,PhD,Yes
"Colossus, Millicent",provider_3243@helloalma.com,LCSW,Yes
"Colossus, Israel",provider_2488@helloalma.com,LMHC,Yes
"Colossus, Lizabeth",provider_1210@helloalma.com,LCSW,No
"Colossus, Olene",provider_1466@helloalma.com,LMHC,Yes
"Colossus, Daniell",provider_4794@helloalma.com,LMHC,Yes
"Colossus, Fernande",provider_4557@helloalma.com,LCSW,No
"Colossus, Eugene",provider_724@helloalma.com,PhD,Yes
"Colossus, Vina",provider_1497@helloalma.com,LMSW,Yes
"Colossus, Gerard",provider_4577@helloalma.com,PhD,Yes
"Colossus, Dorthy",provider_1001@helloalma.com,LCSW,No
"Colossus, Annelle",provider_4074@helloalma.com,LMHC,No
"Colossus, Theressa",provider_2795@helloalma.com,LCSW,Yes
"Colossus, Debra",provider_495@helloalma.com,LMHC,No
"Colossus, Eugene",provider_496@helloalma.com,LCSW,Yes
"Colossus, Latisha",provider_1520@helloalma.com,LMHC,Yes
"Colossus, Cherie",provider_2298@helloalma.com,LMHC,Yes
"Colossus, Jaimee",provider_4346@helloalma.com,LCSW,Yes
"Daredevil, Ching",provider_2304@helloalma.com,PhD,No
"Daredevil, Helene",provider_1540@helloalma.com,LMSW,Yes
"Daredevil, Ronny",provider_1802@helloalma.com,PhD,No
"Daredevil, Fidel",provider_781@helloalma.com,LCSW,Yes
"Daredevil, Jazmin",provider_2578@helloalma.com,LMHC,Yes
"Daredevil, Genie",provider_1046@helloalma.com,LCSW,Yes
"Daredevil, Lizabeth",provider_2583@helloalma.com,LMHC,No
"Daredevil, Ludivina",provider_2850@helloalma.com,LMHC,Yes
"Daredevil, Melani",provider_1062@helloalma.com,LCSW,Yes
"Daredevil, Delois",provider_1575@helloalma.com,PhD,Yes
"Daredevil, Melani",provider_3627@helloalma.com,LMSW,Yes
"Daredevil, Denisha",provider_1585@helloalma.com,PhD,Yes
"Daredevil, Ian",provider_4401@helloalma.com,LCSW,Yes
"Daredevil, Helene",provider_307@helloalma.com,LMHC,Yes
"Daredevil, Jerrold",provider_1334@helloalma.com,LCSW,Yes
"Daredevil, Loraine",provider_2870@helloalma.com,LMHC,Yes
"Daredevil, Anthony",provider_4406@helloalma.com,LCSW,Yes
"Daredevil, Lisha",provider_55@helloalma.com,LMHC,No
"Daredevil, Preston",provider_1847@helloalma.com,LMHC,Yes
"Daredevil, Denisha",provider_826@helloalma.com,LCSW,Yes
"Daredevil, Eugene",provider_2881@helloalma.com,PhD,Yes
"Daredevil, Lien",provider_4673@helloalma.com,LMSW,Yes
"Daredevil, Margaretta",provider_1095@helloalma.com,PhD,Yes
"Daredevil, Fernande",provider_4172@helloalma.com,LCSW,No
"Daredevil, Leonore",provider_1358@helloalma.com,LMHC,Yes
"Daredevil, Kami",provider_2383@helloalma.com,LCSW,Yes
"Daredevil, Anthony",provider_2645@helloalma.com,LMHC,Yes
"Daredevil, Kimber",provider_4438@helloalma.com,LMHC,Yes
"Daredevil, Annelle",provider_2139@helloalma.com,LCSW,Yes
"Daredevil, Denisha",provider_2141@helloalma.com,PhD,Yes
"Daredevil, Theressa",provider_2399@helloalma.com,LMSW,Yes
"Daredevil, Florrie",provider_358@helloalma.com,PhD,Yes
"Daredevil, Hyo",provider_614@helloalma.com,LCSW,Yes
"Daredevil, Moshe",provider_3178@helloalma.com,LMHC,Yes
"Daredevil, Lela",provider_888@helloalma.com,LCSW,No
"Daredevil, Alesia",provider_1145@helloalma.com,LMHC,Yes
"Daredevil, Vina",provider_1147@helloalma.com,LCSW,Yes
"Daredevil, Dorthy",provider_4219@helloalma.com,LMHC,Yes
"Daredevil, Christi",provider_4225@helloalma.com,LMHC,Yes
"Daredevil, Joella",provider_4486@helloalma.com,LCSW,Yes
"Daredevil, Zoraida",provider_4488@helloalma.com,PhD,Yes
"Daredevil, Theressa",provider_1679@helloalma.com,LMSW,No
"Daredevil, Annelle",provider_3217@helloalma.com,PhD,Yes
"Daredevil, Ronny",provider_1173@helloalma.com,LCSW,No
"Daredevil, Genie",provider_1178@helloalma.com,LMHC,Yes
"Daredevil, Wiley",provider_3996@helloalma.com,LCSW,Yes
"Daredevil, Dawn",provider_1437@helloalma.com,LMHC,Yes
"Daredevil, Clayton",provider_2981@helloalma.com,LMHC,Yes
"Daredevil, Hyo",provider_1450@helloalma.com,LCSW,Yes
"Daredevil, Kiersten",provider_2732@helloalma.com,PhD,Yes
"Daredevil, Theressa",provider_942@helloalma.com,LMSW,Yes
"Daredevil, Eugene",provider_1457@helloalma.com,PhD,Yes
"Daredevil, Denisha",provider_3507@helloalma.com,LCSW,Yes
"Daredevil, Fidel",provider_3765@helloalma.com,LMHC,Yes
"Daredevil, Helene",provider_4534@helloalma.com,LCSW,Yes
"Daredevil, Kasey",provider_4286@helloalma.com,LMHC,Yes
"Daredevil, Felix",provider_959@helloalma.com,LCSW,Yes
"Daredevil, Ludivina",provider_3519@helloalma.com,LMHC,Yes
"Daredevil, Elmo",provider_1729@helloalma.com,LMHC,No
"Daredevil, Carmel",provider_2498@helloalma.com,LCSW,Yes
"Daredevil, Kasey",provider_3524@helloalma.com,PhD,Yes
"Daredevil, Emiko",provider_4551@helloalma.com,LMSW,No
"Daredevil, Hyo",provider_2249@helloalma.com,PhD,Yes
"Daredevil, Leonore",provider_3276@helloalma.com,LCSW,Yes
"Daredevil, Melani",provider_973@helloalma.com,LMHC,Yes
"Daredevil, Nohemi",provider_464@helloalma.com,LCSW,Yes
"Daredevil, Preston",provider_466@helloalma.com,LMHC,Yes
"Daredevil, Everett",provider_1238@helloalma.com,LMHC,Yes
"Daredevil, Fidel",provider_1496@helloalma.com,LCSW,Yes
"Daredevil, Kimber",provider_3547@helloalma.com,PhD,Yes
"Daredevil, Cherie",provider_991@helloalma.com,LMSW,Yes
"Daredevil, Cherie",provider_2530@helloalma.com,PhD,Yes
"Daredevil, Carmel",provider_2791@helloalma.com,LCSW,Yes
"Daredevil, Alona",provider_4586@helloalma.com,LMHC,Yes
"Daredevil, Everett",provider_4589@helloalma.com,LCSW,Yes
"Daredevil, Salena",provider_4590@helloalma.com,LMHC,Yes
"Daredevil, Crissy",provider_1784@helloalma.com,LCSW,Yes
"Daredevil, Cherie",provider_3833@helloalma.com,LMHC,Yes
"Daredevil, Hyo",provider_2811@helloalma.com,LMHC,Yes
"Daredevil, Fernande",provider_1790@helloalma.com,LCSW,No
"Dazzler, Corrie",provider_4099@helloalma.com,PhD,Yes
"Dazzler, Zoraida",provider_3078@helloalma.com,LMSW,Yes
"Dazzler, Chester",provider_1033@helloalma.com,PhD,No
"Dazzler, Hyo",provider_524@helloalma.com,LCSW,Yes
"Dazzler, Randa",provider_3093@helloalma.com,LMHC,Yes
"Dazzler, Lela",provider_28@helloalma.com,LCSW,Yes
"Dazzler, Kimber",provider_289@helloalma.com,LMHC,Yes
"Dazzler, Lauryn",provider_37@helloalma.com,LMHC,No
"Dazzler, Marybelle",provider_805@helloalma.com,LCSW,Yes
"Dazzler, Lisha",provider_2353@helloalma.com,PhD,Yes
"Dazzler, Cherie",provider_2611@helloalma.com,LMSW,Yes
"Dazzler, Joella",provider_1592@helloalma.com,PhD,Yes
"Dazzler, Denisha",provider_58@helloalma.com,LCSW,Yes
"Dazzler, Kandra",provider_2374@helloalma.com,LMHC,Yes
"Dazzler, Laticia",provider_3913@helloalma.com,LCSW,Yes
"Dazzler, Lenore",provider_4430@helloalma.com,LMHC,Yes
"Dazzler, Genie",provider_847@helloalma.com,LCSW,No
"Dazzler, Crissy",provider_1871@helloalma.com,LMHC,No
"Dazzler, Lela",provider_1104@helloalma.com,LMHC,Yes
"Dazzler, Helene",provider_2386@helloalma.com,LCSW,Yes
"Dazzler, Emiko",provider_2391@helloalma.com,PhD,No
"Dazzler, Loraine",provider_3671@helloalma.com,LMSW,Yes
"Dazzler, Felix",provider_856@helloalma.com,PhD,Yes
"Dazzler, Cora",provider_607@helloalma.com,LCSW,Yes
"Dazzler, Elmo",provider_1121@helloalma.com,LMHC,Yes
"Dazzler, Ching",provider_1890@helloalma.com,LCSW,Yes
"Dazzler, Felicita",provider_2915@helloalma.com,LMHC,Yes
"Dazzler, Jazmin",provider_1386@helloalma.com,LMHC,Yes
"Dazzler, Vina",provider_2156@helloalma.com,LCSW,Yes
"Dazzler, Xiomara",provider_109@helloalma.com,PhD,Yes
"Dazzler, Moshe",provider_3185@helloalma.com,LMSW,Yes
"Dazzler, Eugenie",provider_1907@helloalma.com,PhD,Yes
"Dazzler, Jazmin",provider_884@helloalma.com,LCSW,Yes
"Dazzler, Florrie",provider_3195@helloalma.com,LMHC,Yes
"Dazzler, Lauryn",provider_4222@helloalma.com,LCSW,Yes
"Dazzler, Wiley",provider_2946@helloalma.com,LMHC,Yes
"Dazzler, Elene",provider_2947@helloalma.com,LCSW,Yes
"Dazzler, Ching",provider_1166@helloalma.com,LMHC,Yes
"Dazzler, Margaretta",provider_912@helloalma.com,LMHC,Yes
"Dazzler, Marvis",provider_4245@helloalma.com,LCSW,Yes
"Dazzler, Ian",provider_2204@helloalma.com,PhD,Yes
"Dazzler, Theressa",provider_1952@helloalma.com,LMSW,Yes
"Dazzler, Darius",provider_4260@helloalma.com,PhD,Yes
"Dazzler, Jaimee",provider_2216@helloalma.com,LCSW,Yes
"Dazzler, Milan",provider_2229@helloalma.com,LMHC,Yes
"Dazzler, Lauryn",provider_701@helloalma.com,LCSW,Yes
"Dazzler, Crissy",provider_1983@helloalma.com,LMHC,Yes
"Dazzler, Denisha",provider_2241@helloalma.com,LMHC,No
"Dazzler, Xiomara",provider_3784@helloalma.com,LCSW,No
"Dazzler, Vina",provider_3533@helloalma.com,PhD,Yes
"Dazzler, Eugenie",provider_1236@helloalma.com,LMSW,Yes
"Dazzler, Denisha",provider_4564@helloalma.com,PhD,Yes
"Dazzler, Xiomara",provider_1247@helloalma.com,LCSW,Yes
"Dazzler, Kandra",provider_1002@helloalma.com,LMHC,Yes
"Dazzler, Kimber",provider_2040@helloalma.com,LCSW,Yes
"Deadpool, Lizabeth",provider_2560@helloalma.com,LMHC,Yes
"Deadpool, Taren",provider_514@helloalma.com,LCSW,Yes
"Deadpool, Theressa",provider_1284@helloalma.com,LMHC,Yes
"Deadpool, Christi",provider_3850@helloalma.com,LMHC,Yes
"Deadpool, Emiko",provider_4622@helloalma.com,LCSW,Yes
"Deadpool, Chester",provider_528@helloalma.com,PhD,No
"Deadpool, Carmon",provider_274@helloalma.com,LMSW,Yes
"Deadpool, Laticia",provider_2323@helloalma.com,PhD,Yes
"Deadpool, Lizabeth",provider_1813@helloalma.com,LCSW,Yes
"Deadpool, Chester",provider_4377@helloalma.com,LMHC,Yes
"Deadpool, Xiomara",provider_2075@helloalma.com,LCSW,Yes
"Deadpool, Christi",provider_4390@helloalma.com,LMHC,Yes
"Deadpool, Latarsha",provider_4135@helloalma.com,LMHC,Yes
"Deadpool, Dawn",provider_3368@helloalma.com,LCSW,Yes
"Deadpool, Dorthy",provider_2346@helloalma.com,PhD,Yes
"Deadpool, Vertie",provider_3891@helloalma.com,LMSW,Yes
"Deadpool, Chester",provider_1078@helloalma.com,PhD,Yes
"Deadpool, Jazmin",provider_2619@helloalma.com,LCSW,Yes
"Deadpool, Cherie",provider_4669@helloalma.com,LMHC,Yes
"Deadpool, Carmel",provider_2893@helloalma.com,LCSW,No
"Deadpool, Cherie",provider_81@helloalma.com,LMHC,Yes
"Deadpool, Florrie",provider_1107@helloalma.com,LCSW,Yes
"Deadpool, Damaris",provider_3170@helloalma.com,LMHC,No
"Deadpool, Lauryn",provider_4194@helloalma.com,LMHC,Yes
"Deadpool, Hyo",provider_101@helloalma.com,LCSW,Yes
"Deadpool, Kasey",provider_4454@helloalma.com,PhD,Yes
"Deadpool, Kandra",provider_3176@helloalma.com,LMSW,No
"Deadpool, Felicita",provider_874@helloalma.com,PhD,No
"Deadpool, Jaimee",provider_1644@helloalma.com,LCSW,Yes
"Deadpool, Theressa",provider_1652@helloalma.com,LMHC,No
"Deadpool, Ching",provider_2686@helloalma.com,LCSW,Yes
"Deadpool, Clayton",provider_132@helloalma.com,LMHC,Yes
"Deadpool, Alona",provider_1668@helloalma.com,LMHC,Yes
"Deadpool, Lela",provider_3468@helloalma.com,LCSW,Yes
"Deadpool, Elmo",provider_4752@helloalma.com,PhD,No
"Deadpool, Bula",provider_915@helloalma.com,LMSW,Yes
"Deadpool, Cherie",provider_2201@helloalma.com,PhD,No
"Deadpool, Torie",provider_3483@helloalma.com,LCSW,Yes
"Deadpool, Lizabeth",provider_3493@helloalma.com,LMHC,Yes
"Deadpool, Ching",provider_426@helloalma.com,LCSW,Yes
"Deadpool, Cherie",provider_429@helloalma.com,LMHC,No
"Deadpool, Helene",provider_941@helloalma.com,LCSW,Yes
"Deadpool, Leonora",provider_4788@helloalma.com,LMHC,Yes
"Deadpool, Jerrold",provider_1978@helloalma.com,LMHC,Yes
"Deadpool, Ching",provider_445@helloalma.com,LCSW,Yes
"Deadpool, Dorthy",provider_4031@helloalma.com,PhD,Yes
"Deadpool, Debra",provider_4550@helloalma.com,LMSW,Yes
"Deadpool, Eugene",provider_4040@helloalma.com,PhD,Yes
"Deadpool, Debra",provider_3289@helloalma.com,LCSW,Yes
"Deadpool, Zoraida",provider_1498@helloalma.com,LMHC,Yes
"Deadpool, Melani",provider_4828@helloalma.com,LCSW,Yes
"Deadpool, Kasey",provider_224@helloalma.com,LMHC,No
"Deadpool, Lauryn",provider_1507@helloalma.com,LMHC,Yes
"Deadpool, Daniell",provider_2029@helloalma.com,LCSW,Yes
"Deadpool, Annelle",provider_752@helloalma.com,PhD,Yes
"Deadpool, Jospeh",provider_3061@helloalma.com,LMSW,Yes
"DoctorStrange, Leonore",provider_2562@helloalma.com,PhD,Yes
"DoctorStrange, Xiomara",provider_1570@helloalma.com,LCSW,No
"DoctorStrange, Elene",provider_1826@helloalma.com,LMHC,Yes
"DoctorStrange, Ian",provider_3625@helloalma.com,LCSW,Yes
"DoctorStrange, Delois",provider_298@helloalma.com,LMHC,Yes
"DoctorStrange, Kandra",provider_1611@helloalma.com,LCSW,Yes
"DoctorStrange, Millicent",provider_4684@helloalma.com,LMHC,Yes
"DoctorStrange, Emiko",provider_1881@helloalma.com,LMHC,Yes
"DoctorStrange, Yaeko",provider_1370@helloalma.com,LCSW,Yes
"DoctorStrange, Lizabeth",provider_4448@helloalma.com,PhD,Yes
"DoctorStrange, Anthony",provider_98@helloalma.com,LMSW,Yes
"DoctorStrange, Theressa",provider_866@helloalma.com,PhD,Yes
"DoctorStrange, Cora",provider_3687@helloalma.com,LCSW,No
"DoctorStrange, Felicita",provider_4718@helloalma.com,LMHC,Yes
"DoctorStrange, Eugene",provider_2677@helloalma.com,LCSW,Yes
"DoctorStrange, Theressa",provider_131@helloalma.com,LMHC,Yes
"DoctorStrange, Berniece",provider_646@helloalma.com,LMHC,Yes
"DoctorStrange, Torie",provider_3974@helloalma.com,LCSW,Yes
"DoctorStrange, Crissy",provider_3727@helloalma.com,PhD,Yes
"DoctorStrange, Jaimee",provider_4239@helloalma.com,LMSW,No
"DoctorStrange, Nohemi",provider_1428@helloalma.com,PhD,Yes
"DoctorStrange, Annelle",provider_4756@helloalma.com,LCSW,No
"DoctorStrange, Torie",provider_1434@helloalma.com,LMHC,Yes
"DoctorStrange, Ronny",provider_4021@helloalma.com,LCSW,Yes
"DoctorStrange, Gerard",provider_4280@helloalma.com,LMHC,Yes
"DoctorStrange, Theressa",provider_1234@helloalma.com,LCSW,Yes
"DoctorStrange, Eugenie",provider_4307@helloalma.com,LMHC,Yes
"DoctorStrange, Jospeh",provider_4052@helloalma.com,LMHC,Yes
"DoctorStrange, Lela",provider_475@helloalma.com,LCSW,Yes
"DoctorStrange, Theressa",provider_1505@helloalma.com,PhD,Yes
"DoctorStrange, Denisha",provider_3829@helloalma.com,LMSW,Yes
"DoctorStrange, Emiko",provider_2039@helloalma.com,PhD,Yes
"DoctorStrange, Gerard",provider_1534@helloalma.com,LCSW,Yes
"Doom, Moshe",provider_3589@helloalma.com,LMHC,Yes
"Doom, Moshe",provider_774@helloalma.com,LCSW,Yes
"Doom, Patrick",provider_3335@helloalma.com,LMHC,Yes
"Doom, Denisha",provider_1039@helloalma.com,LMHC,No
"Doom, Millicent",provider_282@helloalma.com,LCSW,Yes
"Doom, Moshe",provider_1307@helloalma.com,PhD,Yes
"Doom, Milan",provider_2331@helloalma.com,LMSW,No
"Doom, Vina",provider_2588@helloalma.com,PhD,Yes
"Doom, Vina",provider_1829@helloalma.com,LCSW,Yes
"Doom, Salena",provider_1833@helloalma.com,LMHC,Yes
"Doom, Florrie",provider_2349@helloalma.com,LCSW,Yes
"Doom, Fernande",provider_4145@helloalma.com,LMHC,Yes
"Doom, Theressa",provider_308@helloalma.com,LCSW,Yes
"Doom, Lela",provider_2873@helloalma.com,LMHC,Yes
"Doom, Marybelle",provider_3390@helloalma.com,LMHC,Yes
"Doom, Carmel",provider_2113@helloalma.com,LCSW,Yes
"Doom, Vertie",provider_580@helloalma.com,PhD,Yes
"Doom, Lenore",provider_841@helloalma.com,LMSW,Yes
"Doom, Coralee",provider_75@helloalma.com,PhD,Yes
"Doom, Abram",provider_1103@helloalma.com,LCSW,Yes
"Doom, Taren",provider_4691@helloalma.com,LMHC,Yes
"Doom, Preston",provider_1364@helloalma.com,LCSW,Yes
"Doom, Millicent",provider_599@helloalma.com,LMHC,Yes
"Doom, Eugenie",provider_2402@helloalma.com,LMHC,Yes
"Doom, Ian",provider_3432@helloalma.com,LCSW,No
"Doom, Torie",provider_621@helloalma.com,PhD,Yes
"Doom, Melani",provider_2158@helloalma.com,LMSW,Yes
"Doom, Preston",provider_2942@helloalma.com,PhD,No
"Doom, Ian",provider_2687@helloalma.com,LCSW,Yes
"Doom, Genie",provider_3201@helloalma.com,LMHC,Yes
"Doom, Jazmin",provider_3713@helloalma.com,LCSW,Yes
"Doom, Hyo",provider_1924@helloalma.com,LMHC,Yes
"Doom, Lien",provider_2436@helloalma.com,LCSW,No
"Doom, Leonore",provider_4740@helloalma.com,LMHC,Yes
"Doom, Olene",provider_3975@helloalma.com,LMHC,Yes
"Doom, Cherie",provider_2953@helloalma.com,LCSW,Yes
"Doom, Ching",provider_4493@helloalma.com,PhD,Yes
"Doom, Fernande",provider_911@helloalma.com,LMSW,Yes
"Doom, Lizabeth",provider_4754@helloalma.com,PhD,Yes
"Doom, Ching",provider_1427@helloalma.com,LCSW,Yes
"Doom, Leonora",provider_1694@helloalma.com,LMHC,Yes
"Doom, Bula",provider_4771@helloalma.com,LCSW,No
"Doom, Eugenie",provider_4520@helloalma.com,LMHC,No
"Doom, Daniell",provider_2739@helloalma.com,LMHC,Yes
"Doom, Christi",provider_436@helloalma.com,LCSW,Yes
"Doom, Cherie",provider_4278@helloalma.com,PhD,No
"Doom, Eugenie",provider_439@helloalma.com,LMSW,Yes
"Doom, Dawn",provider_1976@helloalma.com,PhD,Yes
"Doom, Carmel",provider_2744@helloalma.com,LCSW,Yes
"Doom, Crissy",provider_2489@helloalma.com,LMHC,Yes
"Doom, Randa",provider_698@helloalma.com,LCSW,Yes
"Doom, Laticia",provider_446@helloalma.com,LMHC,Yes
"Doom, Christi",provider_706@helloalma.com,LCSW,Yes
"Doom, Randa",provider_195@helloalma.com,LMHC,Yes
"Doom, Yolonda",provider_1733@helloalma.com,LMHC,Yes
"Doom, Leonore",provider_2503@helloalma.com,LCSW,Yes
"Doom, Carmon",provider_1231@helloalma.com,PhD,Yes
"Doom, Ronny",provider_3032@helloalma.com,LMSW,Yes
"Doom, Kristofer",provider_2521@helloalma.com,PhD,Yes
"Doom, Angeline",provider_218@helloalma.com,LCSW,Yes
"Doom, Ludivina",provider_3296@helloalma.com,LMHC,Yes
"Doom, Loraine",provider_488@helloalma.com,LCSW,Yes
"Doom, Laticia",provider_1516@helloalma.com,LMHC,Yes
"Doom, Ronny",provider_3567@helloalma.com,LMHC,Yes
"Drake, Ching",provider_263@helloalma.com,LCSW,Yes
"Drake, Israel",provider_3337@helloalma.com,PhD,Yes
"Drake, Marybelle",provider_2831@helloalma.com,LMSW,Yes
"Drake, Kimber",provider_2843@helloalma.com,PhD,Yes
"Drake, Ian",provider_1308@helloalma.com,LCSW,Yes
"Drake, Cherie",provider_4129@helloalma.com,LMHC,Yes
"Drake, Taren",provider_4131@helloalma.com,LCSW,Yes
"Drake, Salena",provider_2858@helloalma.com,LMHC,Yes
"Drake, Christi",provider_3118@helloalma.com,LCSW,No
"Drake, Berniece",provider_1591@helloalma.com,LMHC,No
"Drake, Chester",provider_570@helloalma.com,LMHC,Yes
"Drake, Yaeko",provider_3135@helloalma.com,LCSW,Yes
"Drake, Leonore",provider_1605@helloalma.com,PhD,Yes
"Drake, Lenore",provider_326@helloalma.com,LMSW,Yes
"Drake, Jaimee",provider_327@helloalma.com,PhD,Yes
"Drake, Marybelle",provider_341@helloalma.com,LCSW,Yes
"Drake, Olene",provider_4183@helloalma.com,LMHC,Yes
"Drake, Denver",provider_1376@helloalma.com,LCSW,Yes
"Drake, Carmel",provider_1378@helloalma.com,LMHC,Yes
"Drake, Florrie",provider_4452@helloalma.com,LMHC,Yes
"Drake, Berniece",provider_3941@helloalma.com,LCSW,Yes
"Drake, Milan",provider_2151@helloalma.com,PhD,No
"Drake, Hyo",provider_3688@helloalma.com,LMSW,Yes
"Drake, Jazmin",provider_2666@helloalma.com,PhD,Yes
"Drake, Millicent",provider_3952@helloalma.com,LCSW,Yes
"Drake, Nohemi",provider_1913@helloalma.com,LMHC,Yes
"Drake, Lenore",provider_4474@helloalma.com,LCSW,Yes
"Drake, Milan",provider_2688@helloalma.com,LMHC,Yes
"Drake, Torie",provider_389@helloalma.com,LCSW,Yes
"Drake, Maragret",provider_3717@helloalma.com,LMHC,Yes
"Drake, Loraine",provider_1672@helloalma.com,LMHC,Yes
"Drake, Preston",provider_2440@helloalma.com,LCSW,Yes
"Drake, Fernande",provider_2188@helloalma.com,PhD,Yes
"Drake, Xiomara",provider_144@helloalma.com,LMSW,Yes
"Drake, Maragret",provider_913@helloalma.com,PhD,Yes
"Drake, Patrick",provider_4759@helloalma.com,LCSW,No
"Drake, Olene",provider_3227@helloalma.com,LMHC,Yes
"Drake, Moshe",provider_669@helloalma.com,LCSW,Yes
"Drake, Taren",provider_4768@helloalma.com,LMHC,No
"Drake, Melani",provider_4773@helloalma.com,LMHC,Yes
"Drake, Mauricio",provider_947@helloalma.com,LCSW,Yes
"Drake, Angeline",provider_1467@helloalma.com,PhD,Yes
"Drake, Crissy",provider_700@helloalma.com,LMSW,No
"Drake, Cherie",provider_3263@helloalma.com,PhD,No
"Drake, Genie",provider_2754@helloalma.com,LCSW,Yes
"Drake, Kandra",provider_1243@helloalma.com,LMHC,No
"Drake, Vertie",provider_4830@helloalma.com,LCSW,Yes
"Drake, Cora",provider_735@helloalma.com,LMHC,Yes
"Drake, Ching",provider_3818@helloalma.com,LCSW,Yes
"Drake, Florrie",provider_4846@helloalma.com,LMHC,Yes
"Drake, Lisha",provider_1783@helloalma.com,LMHC,No
"Drake, Daniell",provider_3832@helloalma.com,LCSW,Yes
"Drake, Dorthy",provider_2297@helloalma.com,PhD,No
"Drake, Marge",provider_1274@helloalma.com,LMSW,Yes
"Drake, Jazmin",provider_1277@helloalma.com,PhD,Yes
"Drake, Nohemi",provider_2814@helloalma.com,LCSW,Yes
"Dredd, Clayton",provider_1282@helloalma.com,LMHC,No
"Dredd, Crissy",provider_3336@helloalma.com,LCSW,Yes
"Dredd, Milan",provider_4623@helloalma.com,LMHC,Yes
"Dredd, Yaeko",provider_4117@helloalma.com,LMHC,Yes
"Dredd, Helene",provider_23@helloalma.com,LCSW,Yes
"Dredd, Torie",provider_2587@helloalma.com,PhD,Yes
"Dredd, Kristofer",provider_1820@helloalma.com,LMSW,Yes
"Dredd, Lisha",provider_2343@helloalma.com,PhD,Yes
"Dredd, Xiomara",provider_1347@helloalma.com,LCSW,Yes
"Dredd, Christi",provider_2630@helloalma.com,LMHC,Yes
"Dredd, Eugene",provider_3914@helloalma.com,LCSW,Yes
"Dredd, Marge",provider_4429@helloalma.com,LMHC,No
"Dredd, Millicent",provider_2641@helloalma.com,LCSW,Yes
"Dredd, Lisha",provider_3926@helloalma.com,LMHC,Yes
"Dredd, Theressa",provider_2903@helloalma.com,LMHC,Yes
"Dredd, Chaya",provider_3929@helloalma.com,LCSW,Yes
"Dredd, Eugenie",provider_868@helloalma.com,PhD,Yes
"Dredd, Theressa",provider_3948@helloalma.com,LMSW,No
"Dredd, Gerard",provider_3950@helloalma.com,PhD,Yes
"Dredd, Clayton",provider_1649@helloalma.com,LCSW,Yes
"Dredd, Joella",provider_3443@helloalma.com,LMHC,Yes
"Dredd, Elene",provider_4727@helloalma.com,LCSW,Yes
"Dredd, Xiomara",provider_3461@helloalma.com,LMHC,Yes
"Dredd, Jerrold",provider_1415@helloalma.com,LMHC,Yes
"Dredd, Xiomara",provider_397@helloalma.com,LCSW,Yes
"Dredd, Dorthy",provider_3986@helloalma.com,PhD,Yes
"Dredd, Jospeh",provider_3731@helloalma.com,LMSW,Yes
"Dredd, Berniece",provider_3993@helloalma.com,PhD,Yes
"Dredd, Torie",provider_2458@helloalma.com,LCSW,No
"Dredd, Yolonda",provider_1186@helloalma.com,LMHC,Yes
"Dredd, Xiomara",provider_932@helloalma.com,LCSW,Yes
"Dredd, Elene",provider_1703@helloalma.com,LMHC,Yes
"Dredd, Florrie",provider_2727@helloalma.com,LCSW,Yes
"Dredd, Lawana",provider_175@helloalma.com,LMHC,Yes
"Dredd, Loraine",provider_2736@helloalma.com,LMHC,Yes
"Dredd, Dorthy",provider_1469@helloalma.com,LCSW,No
"Dredd, Genie",provider_3009@helloalma.com,PhD,Yes
"Dredd, Gerard",provider_4802@helloalma.com,LMSW,No
"Dredd, Millicent",provider_4294@helloalma.com,PhD,Yes
